businesszip,target
91066-1539,0.061946902654867256
91066-2050,0.008849557522123894
91101-2107,0.008849557522123894
91102-191,0.008849557522123894
91109-8427,0.017699115044247787
91110-1472,0.008849557522123894
91110-1482,0.008849557522123894
91110-1975,0.008849557522123894
91189-0005,0.008849557522123894
91189-2339,0.008849557522123894
91320-1799,0.02654867256637168
91416,0.008849557522123894
91764,0.008849557522123894
91773,0.017699115044247787
91773-0809,0.035398230088495575
91773-8739,0.008849557522123894
91789,0.02654867256637168
92008,0.008849557522123894
92009,0.02654867256637168
92010,0.017699115044247787
92081,0.008849557522123894
92108,0.02654867256637168
92110,0.008849557522123894
92150,0.008849557522123894
92545,0.008849557522123894
92553,0.008849557522123894
92612,0.008849557522123894
92614,0.017699115044247787
92618,0.017699115044247787
92626,0.008849557522123894
92647,0.02654867256637168
92656,0.008849557522123894
92663,0.017699115044247787
92685-1810,0.017699115044247787
92705,0.008849557522123894
92821,0.008849557522123894
92868,0.017699115044247787
92868-1125,0.017699115044247787
92868-4929,0.035398230088495575
93301,0.008849557522123894
93551,0.008849557522123894
94041,0.008849557522123894
94043,0.008849557522123894
94080,0.008849557522123894
94107,0.008849557522123894
94109,0.008849557522123894
94114,0.017699115044247787
94139-0001,0.008849557522123894
94404,0.008849557522123894
94502,0.008849557522123894
94534,0.008849557522123894
94578-6934,0.008849557522123894
94598,0.008849557522123894
94808,0.008849557522123894
95113,0.017699115044247787
95134,0.008849557522123894
95356,1.2123893805309736
95378,0.035398230088495575
95826,0.008849557522123894
96049-6009,0.008849557522123894
96714,0.017699115044247787
96816,0.008849557522123894
97002,0.017699115044247787
97015,0.008849557522123894
97048,0.008849557522123894
97058,0.008849557522123894
97123,0.008849557522123894
97124-5611,0.10619469026548672
97141,0.017699115044247787
97178,0.008849557522123894
97208,0.008849557522123894
97208-2787,0.017699115044247787
97208-2926,0.017699115044247787
97210,0.008849557522123894
97210-3025,0.008849557522123894
97212,0.017699115044247787
97213,0.008849557522123894
97216,0.017699115044247787
97220,0.008849557522123894
97223-5408,0.008849557522123894
97225,0.008849557522123894
97225-6685,0.008849557522123894
97228,0.017699115044247787
97232-2099,0.017699115044247787
97242,0.008849557522123894
97301,0.017699115044247787
97302,0.008849557522123894
97317,0.008849557522123894
97477,0.008849557522123894
97501,0.008849557522123894
97801-0780,0.008849557522123894
98001,0.18584070796460178
98001-4908,0.008849557522123894
98001-4939,0.008849557522123894
98002,0.18584070796460178
98002-1381,0.008849557522123894
98002-4586,0.02654867256637168
98003,0.5221238938053098
98003-4902,0.008849557522123894
98003-8486,0.008849557522123894
98004,0.9911504424778761
98004-1438,0.008849557522123894
98004-3774,0.21238938053097345
98004-3779,0.008849557522123894
98004-3811,0.008849557522123894
98005,0.20353982300884957
98005-2487,0.017699115044247787
98006,0.10619469026548672
98006-6652,0.008849557522123894
98007,0.1592920353982301
98007-4387,0.02654867256637168
98008,0.061946902654867256
98008-2444,0.008849557522123894
98009,0.008849557522123894
98009-0827,0.035398230088495575
98011,0.20353982300884957
98012,0.17699115044247787
98012-1797,0.008849557522123894
98012-8999,0.008849557522123894
98014,0.017699115044247787
98015-0150,0.008849557522123894
98019,0.017699115044247787
98020,0.05309734513274336
98021,0.17699115044247787
98021-4418,0.017699115044247787
98022,0.04424778761061947
98023,0.008849557522123894
98026,0.18584070796460178
98026-7702,0.008849557522123894
98026-8047,0.008849557522123894
98027,0.18584070796460178
98028,0.061946902654867256
98028-4966,0.008849557522123894
98029,0.1504424778761062
98029-5436,0.008849557522123894
98029-6216,0.008849557522123894
98030,0.168141592920354
98031,0.061946902654867256
98032,0.19469026548672566
98032-1022,0.008849557522123894
98033,0.09734513274336283
98034,0.46017699115044247
98034-3098,0.9203539823008849
98036,0.672566371681416
98036-6738,0.008849557522123894
98036-6754,0.008849557522123894
98037,0.18584070796460178
98038,0.02654867256637168
98040,0.035398230088495575
98042,0.04424778761061947
98043,0.08849557522123894
98043-2089,0.02654867256637168
98043-2190,0.008849557522123894
98047,0.008849557522123894
98051,0.008849557522123894
98052,0.8584070796460177
98052-0901,0.008849557522123894
98052-2046,0.035398230088495575
98053,0.008849557522123894
